"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000260010 (pp) 9606.ENSP00000261693","false","pp","9606.ENSP00000260010 (pp) 9606.ENSP00000261693","0.06","0.0","0.0","0.0","0.0",,"0.0","0.996","0.996"
"pp","9606.ENSP00000260010 (pp) 9606.ENSP00000345347","false","pp","9606.ENSP00000260010 (pp) 9606.ENSP00000345347","0.051","0.0","0.5","0.297","0.0",,"0.0","0.998","0.996"
"pp","9606.ENSP00000260010 (pp) 9606.ENSP00000415743","false","pp","9606.ENSP00000260010 (pp) 9606.ENSP00000415743","0.2","0.0","0.5","0.0","0.0",,"0.0","0.998","0.996"
"pp","9606.ENSP00000260010 (pp) 9606.ENSP00000498321","false","pp","9606.ENSP00000260010 (pp) 9606.ENSP00000498321","0.184","0.0","0.9","0.746","0.0",,"0.0","0.999","0.99"
"pp","9606.ENSP00000260010 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000260010 (pp) 9606.ENSP00000363089","0.369","0.0","0.9","0.0","0.0",,"0.0","0.999","0.989"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000407586","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000407586","0.049","0.0","0.0","0.219","0.0",,"0.0","0.401","0.257"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000353874","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000353874","0.05","0.0","0.0","0.0","0.0",,"0.0","0.478","0.474"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000263025","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000263025","0.052","0.0","0.0","0.0","0.0",,"0.0","0.487","0.48"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000367851","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000367851","0.061","0.0","0.0","0.0","0.0",,"0.0","0.49","0.479"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000357727","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000357727","0.061","0.0","0.0","0.112","0.0",,"0.0","0.566","0.522"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000302961","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000302961","0.057","0.0","0.0","0.071","0.0",,"0.0","0.57","0.549"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000436126","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000436126","0.0","0.0","0.0","0.0","0.0",,"0.0","0.583","0.583"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000345347","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000345347","0.054","0.0","0.0","0.0","0.0",,"0.0","0.613","0.608"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000357726","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000357726","0.061","0.0","0.0","0.112","0.0",,"0.0","0.625","0.586"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000498321","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000498321","0.097","0.0","0.0","0.0","0.0",,"0.0","0.633","0.611"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000284981","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000284981","0.06","0.0","0.0","0.077","0.0",,"0.0","0.641","0.62"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000398698","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000398698","0.074","0.0","0.0","0.0","0.0",,"0.0","0.708","0.697"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000385675","0.075","0.0","0.0","0.0","0.0",,"0.0","0.71","0.7"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000263341","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000263341","0.06","0.0","0.0","0.0","0.0",,"0.0","0.714","0.708"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000364210","0.067","0.0","0.0","0.0","0.0",,"0.0","0.741","0.734"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000380948","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000380948","0.063","0.0","0.0","0.0","0.0",,"0.0","0.785","0.779"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000384906","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000384906","0.0","0.0","0.7","0.0","0.0",,"0.0","0.876","0.605"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000295897","0.086","0.0","0.0","0.0","0.0",,"0.0","0.899","0.894"
"pp","9606.ENSP00000261693 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000261693 (pp) 9606.ENSP00000363089","0.096","0.0","0.0","0.0","0.0",,"0.0","0.996","0.996"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000318585","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000318585","0.049","0.0","0.0","0.067","0.0",,"0.0","0.406","0.384"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000357704","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000357704","0.074","0.0","0.0","0.072","0.0",,"0.0","0.423","0.382"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000353874","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000353874","0.044","0.0","0.0","0.041","0.0",,"0.0","0.424","0.422"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000264896","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000264896","0.05","0.0","0.0","0.0","0.0",,"0.0","0.451","0.445"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000415743","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000415743","0.045","0.0","0.0","0.0","0.0",,"0.0","0.456","0.454"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000362057","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000362057","0.063","0.0","0.0","0.058","0.0",,"0.0","0.52","0.5"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000384906","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000384906","0.0","0.0","0.5","0.0","0.0",,"0.0","0.555","0.148"
