interaction,stringdb::score,stringdb::experiments,stringdb::coexpression,stringdb::cooccurrence,stringdb::textmining
pp,0.733,0.0,0.0,0.0,0.733
pp,0.755,0.093,0.0,0.0,0.504
pp,0.777,0.0,0.433,0.0,0.622
pp,0.783,0.045,0.111,0.0,0.765
pp,0.786,0.045,0.24,0.0,0.729
pp,0.791,0.057,0.331,0.0,0.696
pp,0.802,0.0,0.234,0.0,0.752
pp,0.807,0.0,0.083,0.0,0.799
pp,0.814,0.0,0.105,0.0,0.801
pp,0.861,0.093,0.371,0.0,0.571
pp,0.87,0.0,0.081,0.0,0.864
pp,0.883,0.0,0.144,0.0,0.869
pp,0.893,0.05,0.268,0.0,0.859
pp,0.911,0.0,0.11,0.0,0.904
pp,0.917,0.0,0.043,0.0,0.917
pp,0.933,0.733,0.0,0.0,0.759
pp,0.942,0.0,0.099,0.0,0.938
pp,0.951,0.0,0.184,0.0,0.943
pp,0.961,0.0,0.072,0.0,0.621
pp,0.969,0.0,0.259,0.0,0.96
pp,0.992,0.102,0.0,0.0,0.992
pp,0.996,0.0,0.06,0.0,0.996
pp,0.996,0.0,0.06,0.0,0.996
pp,0.997,0.356,0.175,0.0,0.992
pp,0.998,0.294,0.313,0.0,0.998
pp,0.998,0.297,0.051,0.0,0.996
pp,0.998,0.0,0.2,0.0,0.996
pp,0.999,0.576,0.122,0.08,0.986
pp,0.999,0.952,0.401,0.082,0.986
pp,0.999,0.45,0.102,0.0,0.998
pp,0.999,0.0,0.369,0.0,0.989
pp,0.707,0.0,0.049,0.0,0.705
pp,0.708,0.0,0.074,0.0,0.697
pp,0.71,0.0,0.075,0.0,0.7
pp,0.714,0.0,0.06,0.0,0.708
pp,0.727,0.057,0.06,0.0,0.717
pp,0.741,0.0,0.067,0.0,0.734
pp,0.745,0.046,0.055,0.0,0.74
pp,0.776,0.0,0.042,0.0,0.776
pp,0.781,0.0,0.08,0.0,0.772
pp,0.785,0.0,0.063,0.0,0.779
pp,0.815,0.0,0.042,0.0,0.815
pp,0.834,0.044,0.057,0.0,0.83
pp,0.835,0.0,0.0,0.0,0.835
pp,0.876,0.0,0.0,0.0,0.605
pp,0.899,0.0,0.086,0.0,0.894
pp,0.917,0.0,0.067,0.0,0.915
pp,0.918,0.0,0.067,0.0,0.916
pp,0.941,0.0,0.06,0.0,0.94
pp,0.975,0.126,0.0,0.0,0.973
pp,0.993,0.0,0.06,0.0,0.993
pp,0.994,0.0,0.064,0.0,0.994
pp,0.996,0.0,0.096,0.0,0.996
pp,0.9,0.0,0.0,0.0,0.045
pp,0.908,0.0,0.0,0.0,0.122
pp,0.909,0.0,0.0,0.0,0.133
pp,0.913,0.093,0.049,0.0,0.12
pp,0.921,0.124,0.0,0.0,0.178
pp,0.922,0.065,0.0,0.0,0.232
pp,0.923,0.065,0.049,0.0,0.242
pp,0.937,0.093,0.0,0.0,0.371
pp,0.939,0.093,0.0,0.0,0.391
pp,0.961,0.563,0.0,0.0,0.189
pp,0.99,0.81,0.0,0.0,0.554
pp,0.999,0.61,0.0,0.0,0.996
pp,0.999,0.857,0.0,0.0,0.996
pp,0.703,0.0,0.0,0.053,0.423
pp,0.906,0.068,0.057,0.0,0.065
