interaction,stringdb::score,stringdb::experiments,stringdb::coexpression,stringdb::cooccurrence,stringdb::textmining
pp,0.969,0.0,0.125,0.0,0.966
pp,0.971,0.392,0.193,0.0,0.946
pp,0.973,0.0,0.104,0.0,0.971
pp,0.998,0.292,0.26,0.0,0.995
pp,0.999,0.827,0.111,0.0,0.998
pp,0.999,0.292,0.19,0.0,0.989
pp,0.722,0.0,0.579,0.0,0.366
pp,0.734,0.0,0.105,0.0,0.716
pp,0.807,0.0,0.686,0.0,0.412
pp,0.821,0.0,0.086,0.0,0.813
pp,0.835,0.0,0.0,0.0,0.684
pp,0.915,0.068,0.057,0.0,0.155
pp,0.92,0.053,0.0,0.0,0.224
pp,0.939,0.0,0.116,0.0,0.372
pp,0.954,0.9,0.0,0.0,0.564
pp,0.972,0.294,0.0,0.0,0.641
pp,0.782,0.075,0.147,0.0,0.746
pp,0.851,0.0,0.126,0.0,0.218
pp,0.918,0.515,0.285,0.0,0.782
pp,0.932,0.11,0.074,0.0,0.276
pp,0.938,0.069,0.049,0.0,0.39
pp,0.976,0.069,0.092,0.0,0.758
pp,0.984,0.0,0.125,0.0,0.833
pp,0.999,0.339,0.367,0.094,0.986
pp,0.926,0.0,0.227,0.0,0.121
pp,0.93,0.0,0.135,0.0,0.259
pp,0.932,0.069,0.06,0.0,0.322
pp,0.938,0.069,0.064,0.0,0.375
pp,0.956,0.069,0.135,0.0,0.526
pp,0.971,0.644,0.056,0.0,0.239
pp,0.998,0.0,0.0,0.06,0.983
pp,0.708,0.0,0.093,0.0,0.691
pp,0.721,0.0,0.168,0.0,0.679
pp,0.778,0.0,0.492,0.0,0.581
pp,0.816,0.0,0.512,0.0,0.638
pp,0.995,0.0,0.055,0.0,0.983
pp,0.781,0.11,0.074,0.0,0.531
pp,0.801,0.057,0.118,0.0,0.78
pp,0.803,0.336,0.086,0.0,0.524
pp,0.931,0.294,0.097,0.0,0.522
pp,0.935,0.069,0.091,0.0,0.324
pp,0.995,0.0,0.092,0.0,0.952
pp,0.93,0.236,0.0,0.0,0.16
pp,0.73,0.0,0.098,0.0,0.714
pp,0.997,0.0,0.105,0.0,0.976
pp,0.732,0.302,0.055,0.0,0.284
pp,0.727,0.0,0.177,0.0,0.682
pp,0.748,0.244,0.268,0.0,0.372
pp,0.809,0.0,0.172,0.0,0.778
pp,0.831,0.0,0.25,0.0,0.784
pp,0.913,0.0,0.109,0.0,0.103
pp,0.939,0.0,0.191,0.0,0.311
pp,0.999,0.931,0.55,0.0,0.999
pp,0.727,0.0,0.044,0.0,0.727
pp,0.905,0.0,0.074,0.0,0.844
pp,0.73,0.0,0.105,0.0,0.71
pp,0.796,0.0,0.096,0.0,0.784
pp,0.863,0.0,0.087,0.0,0.856
pp,0.897,0.0,0.088,0.0,0.892
pp,0.994,0.0,0.261,0.0,0.989
pp,0.756,0.0,0.136,0.0,0.73
pp,0.997,0.292,0.109,0.0,0.993
pp,0.998,0.0,0.77,0.0,0.985
pp,0.711,0.0,0.122,0.0,0.685
pp,0.873,0.0,0.142,0.0,0.858
pp,0.909,0.0,0.177,0.0,0.894
pp,0.939,0.069,0.059,0.0,0.387
pp,0.999,0.999,0.074,0.0,0.985
pp,0.772,0.391,0.074,0.0,0.289
pp,0.946,0.189,0.057,0.0,0.387
pp,0.963,0.133,0.056,0.0,0.61
pp,0.98,0.72,0.055,0.0,0.339
pp,0.999,0.971,0.0,0.0,0.829
pp,0.805,0.0,0.164,0.0,0.776
pp,0.923,0.0,0.128,0.0,0.916
pp,0.987,0.511,0.098,0.0,0.973
pp,0.937,0.0,0.103,0.0,0.358
pp,0.957,0.069,0.057,0.0,0.568
pp,0.959,0.0,0.263,0.0,0.947
pp,0.916,0.063,0.124,0.0,0.1
pp,0.915,0.0,0.059,0.0,0.172
